CaseOrder,Age,Email_Sent_To_Customer_Count,Is_Techie,Has_Multiple_Lines,Has_Online_Backup,Has_Device_Protection,Has_Streaming_TV,Avg_Bandwidth_GB_Usage_Per_Year,Churn
1,68,10,0,0,1,0,0,904.5361101999999,0
2,27,12,1,1,0,0,1,800.9827661,1
3,50,9,1,1,0,0,0,2054.706961,0
4,48,15,1,0,0,0,1,2164.579412,0
5,83,16,0,0,0,0,1,271.49343619999996,1
6,83,15,0,1,1,1,0,1039.357983,0
7,79,10,1,0,0,0,1,1907.2429719999998,1
8,30,16,1,0,1,0,0,979.6127078,1
9,49,20,0,0,1,0,0,1312.874964,0
10,86,18,0,0,0,1,0,508.7637913,0
11,23,9,0,1,1,0,1,2728.7678690000002,0
12,56,17,0,0,0,1,1,1180.588788,0
13,83,9,0,0,0,0,1,1196.3880179999999,0
14,29,14,0,1,0,0,1,1948.694497,0
15,30,10,0,1,1,0,0,1582.295235,1
16,39,13,0,0,0,0,1,1840.0144670000002,1
17,63,13,0,1,1,1,0,2070.376729,1
18,60,16,0,0,0,1,1,882.0985933000001,1
19,61,11,1,0,1,1,1,1833.0967,0
20,23,10,0,1,0,0,1,1954.080809,1
21,38,14,0,0,1,1,0,2330.319383,0
22,30,18,0,0,0,1,0,594.1054279,0
23,52,16,0,0,0,0,0,713.0633088,0
24,68,9,0,0,0,0,1,945.3802927999999,0
25,75,15,0,1,0,1,0,870.7639800000001,1
26,77,12,0,0,0,0,0,774.2937069,1
27,47,15,0,0,0,1,1,1506.446527,1
28,70,12,0,0,1,1,1,419.0508708,1
29,20,13,1,0,0,1,1,1259.415493,1
30,69,18,0,1,1,1,1,1745.1259559999999,1
31,45,14,0,0,1,0,1,1795.465729,0
32,40,13,0,1,1,0,0,492.4771472,0
33,82,9,0,0,1,0,1,1013.993166,1
34,74,8,0,1,1,0,1,2680.762173,1
35,69,15,0,1,0,1,1,1081.8143619999998,1
36,52,11,0,1,1,0,0,1209.961168,1
37,26,16,0,1,1,1,0,897.5919144,1
38,25,9,0,1,0,1,0,1340.9301560000001,0
39,66,12,0,0,1,0,0,1113.993679,0
40,72,10,0,0,1,1,0,1530.10769,0
41,21,12,0,0,1,1,1,1310.137419,0
42,55,16,0,0,0,0,0,892.8964931,0
43,41,11,0,1,0,0,1,1125.581944,1
44,32,13,0,1,0,0,0,2016.7100309999998,0
45,22,6,0,1,0,0,1,1412.736809,1
46,44,5,0,1,1,1,1,1710.689671,1
47,23,11,0,0,1,0,0,2384.885909,1
48,43,11,1,1,1,1,0,1213.940165,1
49,86,11,0,0,0,0,1,740.010722,0
50,84,14,0,0,0,0,0,897.9716152999999,0
51,62,13,0,1,0,1,0,1026.387172,1
52,68,12,0,0,0,1,1,1234.244324,1
53,59,8,0,0,0,1,1,727.3731845,0
54,31,6,1,1,0,0,1,452.87215039999995,1
55,51,11,0,1,0,1,0,1296.6745429999999,1
56,58,11,0,0,0,1,1,1840.628269,0
57,73,11,0,0,1,0,0,1324.330108,1
58,33,11,0,0,0,1,0,958.1397059000001,0
59,58,15,0,1,0,0,1,1868.8640269999999,1
60,49,9,0,0,0,1,0,676.712908,0
61,26,12,0,0,1,0,0,1086.990308,0
62,25,10,0,1,0,1,1,704.7540406,0
63,42,14,0,0,1,0,0,1416.444695,1
64,81,15,0,0,0,1,0,1095.950634,0
65,43,13,1,0,0,1,0,1083.610268,0
66,63,14,0,1,1,1,1,1570.641337,0
67,70,11,0,1,0,1,1,1007.4255529999999,1
68,78,19,0,0,0,0,1,1323.028419,1
69,48,17,0,1,0,0,1,1808.730555,0
70,63,18,1,0,0,1,1,1120.2414720000002,1
71,60,12,0,0,1,0,1,2676.789803,1
72,87,17,1,1,1,0,1,1268.0869089999999,1
73,54,9,0,0,1,0,0,822.6771666,0
74,35,9,0,0,1,1,1,1577.915603,1
75,70,16,0,1,1,1,0,648.7471776000001,1
76,67,13,0,1,1,1,1,1648.102673,1
77,46,11,0,0,0,1,1,768.0874545,1
78,50,10,0,0,1,0,0,2426.030626,0
79,24,18,0,1,0,0,1,2660.503932,1
80,20,17,0,0,0,1,0,1129.549713,0
81,29,13,0,0,0,0,1,1771.286466,1
82,31,6,1,1,0,1,0,943.3391244,0
83,72,13,0,1,0,0,0,1907.2260829999998,0
84,71,10,0,0,0,1,0,1885.939118,0
85,32,11,0,1,1,1,0,631.7435653,0
86,33,15,0,0,0,0,1,562.6095219,0
87,67,12,1,0,1,0,0,593.8572264,0
88,66,13,0,1,0,0,1,777.3060717999999,1
89,21,12,0,0,0,0,1,1393.202392,1
90,61,13,0,0,1,0,0,393.6524652,0
91,75,13,0,1,0,1,0,409.7486664,1
92,63,9,0,0,1,1,1,2138.107161,1
93,68,3,0,0,0,0,0,443.98403099999996,0
94,32,7,0,1,1,1,0,2481.385603,1
95,76,7,0,1,0,1,0,2233.567181,0
96,29,13,0,0,1,1,1,1158.91369,1
97,83,17,0,0,0,1,0,529.40733,0
98,23,14,0,0,1,1,1,1956.7337,1
99,80,15,0,0,1,1,0,2056.386979,0
100,20,11,0,1,0,1,1,1067.373076,0
101,69,12,0,0,1,1,1,1806.1357329999998,1
102,32,10,0,1,0,1,1,1397.701335,0
103,53,19,0,1,0,1,1,808.4305471,1
104,25,9,0,0,1,0,0,1886.5319370000002,0
105,69,16,0,1,1,1,1,2294.7811309999997,1
106,71,10,0,1,1,1,1,826.3438621,1
107,53,18,0,1,1,0,1,2072.564168,1
108,56,11,0,1,1,0,1,1436.793746,1
109,42,9,0,1,0,0,0,1963.3326829999999,1
110,33,14,0,1,0,1,1,1324.164906,1
111,47,16,0,0,0,0,1,704.9375603,0
112,48,18,0,1,0,1,0,888.6517305,1
113,63,10,0,0,0,0,0,377.0810282,1
114,40,9,0,0,0,0,0,1606.489936,0
115,67,14,1,0,1,0,1,1431.409396,1
116,56,13,1,0,1,0,1,2253.85247,0
117,24,10,1,1,0,1,0,1353.29384,0
118,79,12,0,1,1,1,1,1701.457566,0
119,61,16,0,0,0,0,0,1290.737183,1
120,38,11,1,0,1,0,1,1403.270091,1
121,28,13,1,1,1,0,0,2603.903672,0
122,44,8,0,1,1,1,1,1256.287854,1
123,65,14,1,0,1,0,0,980.9935923,0
124,35,15,0,0,0,1,1,1347.869205,0
125,31,9,0,1,0,1,1,1127.267848,0
126,34,11,1,1,0,0,0,1269.836202,0
127,68,13,0,1,0,1,1,1038.7453779999998,1
128,62,9,0,1,1,1,0,1531.155367,0
129,52,14,0,0,0,1,0,991.2441024,0
