,Has_Port_Modem,Has_Multiple_Lines,Has_Online_Backup,Has_Streaming_TV,Has_Streaming_Movies,Churn,Area_Suburban,Area_Urban,Gender_Male,Gender_Prefer not to answer,Contract_Term_One year,Contract_Term_Two Year,Internet_Service_Type_Fiber Optic,Internet_Service_Type_None,Payment_Method_Type_Credit Card (automatic),Payment_Method_Type_Electronic Check,Payment_Method_Type_Mailed Check,Avg_Bandwidth_GB_Usage_Per_Year,Population_Within_A_Mile,Children_Count,Age,Income,Outage_Seconds_Per_Week,Email_Sent_To_Customer_Count,Technical_Support_Contacted_Count,Yearly_Equip_Failure_Count,Tenure,Avg_Monthly_Charge,Timely_Response_Survey_Item,Timely_Fixes_Survey_Item,Timely_Replacements_Survey_Item,Reliability_Survey_Item,Options_Survey_Item,Respectful_Response_Survey_Item,Courteous_Exchange_Survey_Item,Evidence_Of_Active_Listening_Survey_Item
0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,904.5361101999999,38,1.0,68.0,28561.99,6.972566092999999,10,0,1,6.795512947000001,171.44976210000002,5,5,5,3,4,4,3,4
1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,800.9827661,10446,1.0,27.0,21704.77,12.01454108,12,0,1,1.156680997,242.94801549999997,3,4,3,3,4,3,4,4
2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2054.706961,3735,4.0,50.0,33186.785,10.24561565,9,0,1,15.75414408,159.44039840000002,4,4,2,4,4,3,3,3
3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2164.579412,13863,1.0,48.0,18925.23,15.20619309,15,2,0,17.08722662,120.2494934,4,4,4,2,5,4,3,3
4,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,271.49343619999996,11352,0.0,83.0,40074.19,8.960316419,16,2,1,1.6709717259999999,150.7612159,4,4,4,3,4,4,4,5
5,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1039.357983,17701,3.0,83.0,33186.785,7.814858954,15,3,1,7.000993555,184.4015581,3,3,3,2,4,3,3,3
6,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1907.2429719999998,2535,0.0,53.0,11467.5,11.12909443,10,0,1,13.23677381,200.0648859,6,5,6,4,1,5,5,5
7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,979.6127078,23144,2.0,53.0,26759.64,7.594838367,16,0,0,36.19603,114.7541111,2,2,2,5,2,3,4,5
8,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1312.874964,17351,2.0,49.0,58634.51,6.637258801000001,20,2,3,8.220686373,118.3668439,5,4,4,3,4,3,4,4
9,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,508.7637913,20193,1.0,86.0,50231.4,9.230409493,18,1,0,3.4220861389999997,163.0052796,2,2,2,2,5,2,3,3
