,Is_Techie,Has_Phone_Service,Has_Multiple_Lines,Has_Online_Backup,Has_Device_Protection,Has_Streaming_TV,Has_Streaming_Movies,Gender_Female,Gender_Male,Gender_Prefer not to answer,Contract_Term_Month-to-month,Contract_Term_One year,Contract_Term_Two Year,Internet_Service_Type_DSL,Internet_Service_Type_Fiber Optic,Internet_Service_Type_None,Payment_Method_Type_Bank Transfer(automatic),Payment_Method_Type_Credit Card (automatic),Payment_Method_Type_Electronic Check,Payment_Method_Type_Mailed Check,Churn,Population_Within_A_Mile,Children_Count,Age,Income,Outage_Seconds_Per_Week,Email_Sent_To_Customer_Count,Technical_Support_Contacted_Count,Yearly_Equip_Failure_Count,Tenure,Avg_Monthly_Charge,Avg_Bandwidth_GB_Usage_Per_Year,Timely_Response_Survey_Item,Timely_Fixes_Survey_Item,Timely_Replacements_Survey_Item,Reliability_Survey_Item,Options_Survey_Item,Respectful_Response_Survey_Item,Courteous_Exchange_Survey_Item,Evidence_Of_Active_Listening_Survey_Item
0,0.0,1.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,38,1.0,68.0,28561.99,6.972566092999999,10,0,1,6.795512947000001,171.44976210000002,904.5361101999999,5,5,5,3,4,4,3,4
1,1.0,1.0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,10446,1.0,27.0,21704.77,12.01454108,12,0,1,1.156680997,242.94801549999997,800.9827661,3,4,3,3,4,3,4,4
2,1.0,1.0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,3735,4.0,50.0,33186.785,10.24561565,9,0,1,15.75414408,159.44039840000002,2054.706961,4,4,2,4,4,3,3,3
3,1.0,1.0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,13863,1.0,48.0,18925.23,15.20619309,15,2,0,17.08722662,120.2494934,2164.579412,4,4,4,2,5,4,3,3
4,0.0,0.0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,11352,0.0,83.0,40074.19,8.960316419,16,2,1,1.6709717259999999,150.7612159,271.49343619999996,4,4,4,3,4,4,4,5
5,0.0,1.0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,17701,3.0,83.0,33186.785,7.814858954,15,3,1,7.000993555,184.4015581,1039.357983,3,3,3,2,4,3,3,3
6,1.0,1.0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,2535,0.0,53.0,11467.5,11.12909443,10,0,1,13.23677381,200.0648859,1907.2429719999998,6,5,6,4,1,5,5,5
7,1.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,23144,2.0,53.0,26759.64,7.594838367,16,0,0,36.19603,114.7541111,979.6127078,2,2,2,5,2,3,4,5
8,0.0,1.0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,17351,2.0,49.0,58634.51,6.637258801000001,20,2,3,8.220686373,118.3668439,1312.874964,5,4,4,3,4,3,4,4
9,0.0,1.0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,20193,1.0,86.0,50231.4,9.230409493,18,1,0,3.4220861389999997,163.0052796,508.7637913,2,2,2,2,5,2,3,3
10,0.0,1.0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,555,7.0,23.0,33186.785,11.83511269,9,0,2,19.26726194,177.451599,2728.7678690000002,4,4,4,7,3,3,3,4
11,0.0,1.0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,33372,2.0,56.0,18342.12,5.08282075,17,1,1,36.19603,148.36408740000002,1180.588788,4,4,3,4,4,4,3,4
12,0.0,1.0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,556,0.0,83.0,83671.08,7.265960814,9,0,0,13.01149229,136.4312394,1196.3880179999999,1,2,1,4,3,2,3,3
13,0.0,1.0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5.0,53.0,115114.57,6.568343833999999,14,1,0,16.87922024,185.65929419999998,1948.694497,5,6,5,2,4,5,4,4
14,0.0,0.0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,8165,1.0,30.0,64256.81,12.63069124,10,3,0,10.06019902,160.80554180000001,3382.4240000000004,3,3,4,2,3,4,4,2
15,0.0,1.0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,2093,1.0,39.0,89061.45,9.48221912,13,1,0,13.87001293,176.3345094,1840.0144670000002,3,3,3,2,4,3,5,2
16,0.0,1.0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,50079,1.0,63.0,31659.3,14.42916512,13,1,0,15.78214958,195.8726039,2070.376729,3,4,4,3,5,4,4,3
17,0.0,1.0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,7249,1.0,60.0,44142.81,10.21790303,16,3,0,36.19603,203.06959730000003,882.0985933000001,2,2,4,3,3,4,3,3
18,1.0,1.0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,9463,3.0,61.0,39262.14,11.10106846,11,1,0,17.10995632,154.0171018,1833.0967,3,4,3,4,3,2,3,5
19,0.0,1.0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,3177,3.0,23.0,19494.75,11.08853215,10,1,0,12.80615845,150.1107392,1954.080809,5,5,5,4,4,4,3,3
