,0
0,0
1,0
2,1
3,0
4,1
5,0
6,1
7,1
8,1
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,0
17,1
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,0
41,0
42,1
43,0
44,1
45,1
46,0
47,1
48,0
49,0
50,0
51,1
52,1
53,1
54,0
55,1
56,0
57,0
58,1
59,0
60,0
61,0
62,1
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,1
71,1
72,1
73,0
74,1
75,1
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,1
84,0
85,0
86,1
87,1
88,0
89,0
90,1
91,0
92,0
93,1
94,0
95,1
96,0
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,0
107,1
108,1
109,1
110,0
111,1
112,0
113,0
114,1
115,0
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,1
126,0
127,0
128,1
129,1
130,1
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,1
148,1
149,0
150,0
151,0
152,1
153,1
154,1
155,0
156,1
157,1
158,0
159,1
160,0
161,1
162,0
163,1
164,0
165,1
166,1
167,1
168,0
169,1
170,0
171,1
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,0
180,0
181,1
182,1
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,0
198,0
199,1
200,1
201,1
202,1
203,1
204,0
205,0
206,1
207,0
208,1
209,1
210,0
211,1
212,1
213,0
214,1
215,0
216,1
217,1
218,1
219,1
220,0
221,0
222,1
223,1
224,0
225,0
226,0
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,0
245,1
246,0
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,1
260,1
261,1
262,0
263,1
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,0
279,1
280,1
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,0
293,0
294,1
295,0
296,0
297,0
298,1
299,0
300,1
301,0
302,1
303,0
304,0
305,1
306,1
307,1
308,1
309,0
310,0
311,0
312,0
313,1
314,1
315,0
316,1
317,1
318,1
319,0
320,1
321,0
322,1
323,1
324,0
325,0
326,1
327,0
328,0
329,0
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,0
339,1
340,0
341,0
342,1
343,0
344,1
345,1
346,0
347,0
348,1
349,0
350,1
351,1
352,1
353,0
354,0
355,0
356,1
357,1
358,0
359,1
360,1
361,1
362,0
363,0
364,0
365,0
366,1
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,0
383,1
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,0
394,0
395,0
396,1
397,0
398,0
399,1
400,1
401,0
402,1
403,1
404,0
405,0
406,0
407,1
408,1
409,1
410,1
411,0
412,1
413,0
414,0
415,0
416,1
417,1
418,1
419,0
420,0
421,1
422,1
423,0
424,0
425,1
426,1
427,1
428,1
429,0
430,1
431,1
432,0
433,0
434,1
435,0
436,1
437,1
438,0
439,1
440,0
441,1
442,1
443,0
444,1
445,1
446,0
447,0
448,1
449,1
450,1
451,0
452,1
453,1
454,0
455,0
456,0
457,0
458,1
459,1
460,1
461,0
462,0
463,1
464,0
465,0
466,1
467,1
468,1
469,0
470,0
471,1
472,1
473,0
474,0
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,1
483,1
484,0
485,0
486,0
487,1
488,0
489,1
490,0
491,0
492,0
493,1
494,0
495,0
496,1
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,0
505,1
506,1
507,1
508,1
509,1
510,0
511,1
512,0
513,1
514,0
515,1
516,1
517,0
518,0
519,1
520,0
521,1
522,0
523,1
524,1
525,0
526,1
527,1
528,0
529,1
530,0
531,0
532,1
