CaseOrder,Population_Within_A_Mile,Children_Count,Age,Income,Churn,Outage_Seconds_Per_Week,Email_Sent_To_Customer_Count,Technical_Support_Contacted_Count,Yearly_Equip_Failure_Count,Is_Techie,Has_Port_Modem,Has_Tablet,Has_Phone_Service,Has_Multiple_Lines,Has_Online_Security,Has_Online_Backup,Has_Device_Protection,Has_Tech_Support,Has_Streaming_TV,Has_Streaming_Movies,Has_Paperless_Billing,Tenure,Avg_Monthly_Charge,Avg_Bandwidth_GB_Usage_Per_Year,Area_Rural,Area_Suburban,Area_Urban,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Never Married,Marital_Status_Separated,Marital_Status_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,Contract_Term_Month-to-month,Contract_Term_One year,Contract_Term_Two Year,Internet_Service_Type_DSL,Internet_Service_Type_Fiber Optic,Internet_Service_Type_None,Payment_Method_Type_Bank Transfer(automatic),Payment_Method_Type_Credit Card (automatic),Payment_Method_Type_Electronic Check,Payment_Method_Type_Mailed Check
1,38,0,68,28561.99,0,7.9783229470000006,10,0,1,0,1,1,1,0,1,1,0,0,0,1,1,6.795512947000001,172.45551899999998,904.5361101999999,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
2,10446,1,27,21704.77,1,11.69907956,12,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1.156680997,242.632554,800.9827661,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
3,3735,4,50,9609.57,0,10.75280028,9,0,1,1,1,0,1,1,0,0,0,0,0,1,1,15.75414408,159.947583,2054.706961,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
4,13863,1,48,18925.23,0,14.91353964,15,2,0,1,0,0,1,0,1,0,0,0,1,0,1,17.08722662,119.95683999999999,2164.579412,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
5,11352,0,83,40074.19,1,8.147416533,16,2,1,0,1,0,0,0,0,0,0,1,1,0,0,1.6709717259999999,149.948316,271.49343619999996,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
6,17701,3,83,22660.2,0,8.420992898,15,3,1,0,1,0,1,1,1,1,1,0,0,1,0,7.000993555,185.007692,1039.357983,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
7,2535,0,79,11467.5,1,11.18272453,10,0,1,1,0,0,1,0,0,0,0,1,1,1,0,13.23677381,200.118516,1907.2429719999998,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
8,23144,2,30,26759.64,1,7.791632265,16,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4.26425515,114.950905,979.6127078,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
9,17351,2,49,58634.51,0,5.739005915,20,2,3,0,1,0,1,0,1,1,0,0,0,0,1,8.220686373,117.46859099999999,1312.874964,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
10,20193,1,86,50231.4,0,8.707823904,18,1,0,0,1,0,1,0,1,0,1,0,0,1,1,3.4220861389999997,162.48269399999998,508.7637913,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
11,555,7,23,22580.7,0,9.341631685,9,0,2,0,0,0,1,1,1,1,0,0,1,0,0,19.26726194,174.95811799999998,2728.7678690000002,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
12,33372,2,56,18342.12,0,6.68082638,17,1,1,0,1,0,1,0,0,0,1,0,1,0,0,10.52199781,149.96209299999998,1180.588788,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
13,556,0,83,83671.08,0,8.273875452,9,0,0,0,1,0,1,0,0,0,0,0,1,0,0,13.01149229,137.439154,1196.3880179999999,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
14,0,5,29,115114.57,0,5.880565591,14,1,0,0,1,1,1,1,1,0,0,1,1,0,1,16.87922024,184.97151599999998,1948.694497,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
15,8165,1,30,64256.81,1,11.79073041,10,3,0,0,0,0,0,1,0,1,0,1,0,0,1,10.06019902,159.96558100000001,1582.295235,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
16,2093,3,39,89061.45,1,10.79846973,13,1,0,0,0,0,1,0,1,0,0,0,1,1,1,13.87001293,177.65076000000002,1840.0144670000002,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
17,50079,0,63,31659.3,1,13.52284721,13,1,0,0,1,0,1,1,0,1,1,0,0,1,1,15.78214958,194.966286,2070.376729,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
18,7249,2,60,44142.81,1,9.831166695,16,3,0,0,0,0,1,0,1,0,1,1,1,1,0,2.303331273,202.682861,882.0985933000001,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
19,9463,3,61,39262.14,0,9.57470568,11,1,0,1,1,0,1,0,0,1,1,1,1,0,1,17.10995632,152.490739,1833.0967,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0
20,3177,3,23,19494.75,1,10.92246098,10,1,0,0,1,0,1,1,0,0,0,0,1,0,1,12.80615845,149.944668,1954.080809,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
21,69,4,38,39624.21,0,12.06889188,14,0,3,0,0,0,1,0,1,1,1,0,0,1,1,20.45390977,184.97845800000002,2330.319383,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
22,14440,3,30,45714.47,0,6.984819996000001,18,1,0,0,0,1,1,0,1,0,1,0,0,0,0,2.415991977,127.49576599999999,594.1054279,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
23,381,3,52,27442.03,0,9.372975594,16,1,1,0,0,0,1,0,0,0,0,1,0,0,1,6.652298992,124.964303,713.0633088,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
24,2193,2,68,79699.62,0,7.109002592,9,0,0,0,1,0,1,0,0,0,0,1,1,0,1,8.543717478,149.948316,945.3802927999999,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
25,9434,3,75,28520.32,1,13.74777955,15,1,0,0,0,1,1,1,1,0,1,0,0,1,0,5.770390256000001,162.511928,870.7639800000001,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
26,29568,1,77,12558.83,1,9.767668044,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4.157658837,92.455141,774.2937069,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
27,3089,1,47,8762.23,1,15.8626095,15,0,1,0,1,0,1,0,1,0,1,0,1,1,0,10.40566091,222.649979,1506.446527,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
28,5652,0,70,43882.72,1,14.73616645,12,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1.3924215969999998,139.98157700000002,419.0508708,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
29,1716,3,20,10482.52,1,13.43558029,13,2,0,1,0,0,1,0,0,0,1,0,1,1,0,1.4303863490000002,200.132293,1259.415493,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
30,52484,4,69,33442.79,1,10.61771118,18,1,0,0,0,1,1,1,1,1,1,0,1,1,1,5.425864884,257.651257,1745.1259559999999,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
